Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2016 Honda Jazz,1.2 S MT,Manual,"53,127 km",1st Owner,Petrol,MH-03,"4,97,000"
2018 Maruti IGNIS,ZETA 1.2 K12,Manual,"65,476 km",1st Owner,Petrol,MH-03,"4,83,000"
2021 Maruti New  Wagon-R,1.0 Lxi (o) cng,Manual,"15,194 km",1st Owner,Petrol + CNG,MH-09,"6,76,000"
2018 Maruti Dzire,VDI,Manual,"52,228 km",1st Owner,Diesel,MH-04,"7,42,000"
2016 Maruti Swift,ZXI,Manual,"81,517 km",1st Owner,Petrol,MH-43,"4,97,000"
2021 Tata Safari,XZ+ 2.0 KRYOTEC,Manual,"12,120 km",1st Owner,Diesel,MH-05,"21,18,000"
2021 Tata NEXON,XZ+ OPT PETROL,Manual,"8,696 km",1st Owner,Petrol,MH-04,"11,95,000"
2019 Hyundai VENUE,1.0L Turbo GDI SX MT,Manual,"16,049 km",1st Owner,Petrol,MH-47,"9,79,000"
2017 Maruti Baleno,ALPHA CVT PETROL 1.2,,"75,854 km",1st Owner,Petrol,MH-04,"6,05,000"
2021 Tata ALTROZ,XZ+ 1.5 RTQ,,"26,322 km",1st Owner,Diesel,MH-02,"10,41,000"
2020 Honda City,VX CVT PETROL,Automatic,"18,665 km",1st Owner,Petrol,MH-43,"12,81,000"
2018 Maruti Alto K10,LXI CNG (O),Manual,"30,913 km",1st Owner,Petrol + CNG,MH-43,"3,70,000"
2017 Maruti Dzire,VDI,Manual,"42,688 km",1st Owner,Diesel,MH-47,"7,06,000"
2020 Toyota URBAN CRUISER,PREMIUM DUAL TONE AT,,"15,821 km",2nd Owner,Petrol,MH-05,"10,40,000"
2018 Hyundai Creta,1.6 CRDI SX PLUS AUTO,Automatic,"71,983 km",2nd Owner,Diesel,MH-47,"11,61,000"
2016 Maruti Wagon R 1.0,LXI CNG,Manual,"81,201 km",2nd Owner,Petrol + CNG,MH-47,"3,77,000"
2018 Maruti Celerio,VXI CNG,Manual,"72,477 km",1st Owner,Petrol + CNG,MH-04,"4,74,000"
2021 Maruti S PRESSO,LXI CNG,Manual,"15,273 km",2nd Owner,Petrol + CNG,MH-04,"5,44,000"
2019 Maruti Alto 800,LXI CNG,Manual,"91,485 km",1st Owner,Petrol + CNG,MH-04,"3,46,000"
2016 Maruti Alto 800,VXI (O),Manual,"13,767 km",1st Owner,Petrol,MH-46,"2,91,000"
2017 Maruti Baleno,ALPHA PETROL 1.2,,"23,551 km",1st Owner,Petrol,MH-03,"6,21,000"
2018 Honda Jazz,1.5 V I DTEC,Manual,"70,315 km",2nd Owner,Diesel,MH-15,"6,30,000"
2020 Tata ALTROZ,XZ 1.2,Manual,"14,774 km",1st Owner,Petrol,MH-20,"8,32,000"
2020 MG HECTOR,SHARP DCT PETROL,Automatic,"39,173 km",1st Owner,Petrol,MH-17,"16,15,000"
2019 Maruti New  Wagon-R,VXI 1.2L,Manual,"4,096 km",1st Owner,Petrol,MH-03,"5,56,000"
2019 Maruti Celerio,VXI CNG,Manual,"38,428 km",2nd Owner,Petrol + CNG,MH-03,"5,43,000"
2013 Maruti Swift Dzire,VXI,Manual,"68,940 km",1st Owner,Petrol,MH-43,"4,28,000"
2018 Hyundai Creta,1.6 VTVT SX AUTO,Automatic,"21,198 km",2nd Owner,Petrol,MH-05,"12,72,000"
2014 Honda Brio,1.2 S MT I VTEC,Manual,"45,092 km",1st Owner,Petrol,MH-43,"3,84,000"
2017 Hyundai Elite i20,ASTA 1.2,Manual,"38,013 km",1st Owner,Petrol,MH-04,"6,50,000"
2018 Maruti IGNIS,DELTA 1.2 K12,Manual,"4,975 km",2nd Owner,Petrol,MH-05,"5,14,000"
2022 Renault Duster,RXZ CVT 1.3 TURBO,Automatic,"9,871 km",1st Owner,Petrol,MH-02,"14,48,000"
2021 Maruti Dzire,VXI AMT,Automatic,"2,680 km",1st Owner,Petrol,MH-04,"7,98,000"
2019 Maruti Vitara Brezza,ZDI PLUS,Manual,"20,198 km",1st Owner,Diesel,MH-05,"10,14,000"
2019 Maruti Vitara Brezza,ZDI PLUS,Manual,"45,213 km",1st Owner,Diesel,MH-01,"9,61,000"
2012 Maruti Swift,ZXI,Manual,"45,559 km",1st Owner,Petrol,MH-02,"3,94,000"
2018 Maruti Celerio,ZXI OPT AMT,Automatic,"27,234 km",1st Owner,Petrol,MH-05,"4,68,000"
2013 Honda Amaze,1.2 SMT I VTEC,Manual,"64,911 km",2nd Owner,Petrol,MH-04,"3,85,000"
2019 Maruti Alto K10,VXI AMT,Automatic,"11,597 km",1st Owner,Petrol,MH-02,"4,41,000"
2019 Honda City,V MT PETROL,Manual,"14,619 km",2nd Owner,Petrol,MH-01,"8,53,000"
2018 Honda WR-V,1.5 i-DTEC VX MT,Manual,"52,753 km",1st Owner,Diesel,MH-03,"8,34,000"
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"55,714 km",2nd Owner,Petrol + CNG,MH-04,"4,75,000"
2018 Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"17,198 km",2nd Owner,Petrol,MH-05,"6,00,000"
2022 Honda City,VX CVT PETROL,Automatic,"8,145 km",1st Owner,Petrol,MH-05,"14,85,000"
2019 Hyundai Verna,1.6 SX VTVT,Manual,"36,570 km",1st Owner,Petrol,MH-47,"8,90,000"
2017 Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,"49,474 km",1st Owner,Petrol,MH-12,"5,33,000"
2021 Honda City,V MT PETROL,Manual,"1,444 km",1st Owner,Petrol,MH-04,"11,14,000"
2017 Honda WR-V,1.5 i-DTEC VX MT,Manual,"60,604 km",2nd Owner,Diesel,MH-01,"7,11,000"
2019 MG HECTOR,SHARP DCT PETROL,Automatic,"29,646 km",1st Owner,Petrol,MH-46,"16,15,000"
2013 Honda Amaze,1.2 SMT I VTEC,Manual,"72,998 km",1st Owner,Petrol,MH-02,"4,05,000"
2019 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,,"19,020 km",1st Owner,Petrol + CNG,MH-04,"5,54,000"
2022 Maruti Celerio,VXI CNG,Manual,"1,793 km",1st Owner,Petrol + CNG,MH-46,"6,69,700"
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"17,067 km",1st Owner,Petrol + CNG,MH-05,"4,96,000"
2018 Hyundai Tucson New,2WD AT GLS PETROL,Automatic,"33,304 km",2nd Owner,Petrol,MH-01,"17,05,000"
2018 Honda WR-V,1.2 i-VTEC VX MT,Manual,"13,168 km",1st Owner,Petrol,MH-01,"8,45,000"
2019 Maruti Dzire,VXI,Manual,"11,522 km",1st Owner,Petrol,MH-02,"6,98,000"
2017 Maruti Wagon R 1.0,VXI+ OPT. AMT,Automatic,"11,549 km",1st Owner,Petrol,MH-03,"4,87,000"
2020 Toyota URBAN CRUISER,Premium AT,,"10,051 km",1st Owner,Petrol,MH-02,"11,43,000"
2017 Maruti Ciaz,ZDI SHVS,Manual,"95,205 km",1st Owner,Diesel,MH-02,"7,01,000"
2021 Honda WR-V,1.2 SV MT,Manual,"3,427 km",1st Owner,Petrol,MH-03,"8,91,000"
2017 Maruti Dzire,VXI AMT,Automatic,"32,005 km",1st Owner,Petrol,MH-05,"6,83,000"
2018 Toyota Corolla Altis,G,Manual,"19,123 km",1st Owner,Petrol,MH-01,"11,40,000"
2019 Maruti New  Wagon-R,VXI 1.0,Manual,"19,720 km",1st Owner,Petrol,MH-05,"5,30,000"
2017 Hyundai Creta,1.6 E + VTVT,Manual,"47,978 km",1st Owner,Petrol,MH-02,"8,50,000"
2020 Maruti S PRESSO,VXI CNG,Manual,"53,393 km",2nd Owner,Petrol + CNG,MH-05,"5,13,000"
2019 Tata Harrier,XZ 2.0L Kryotec,Manual,"50,011 km",1st Owner,Diesel,MH-04,"14,72,000"
2021 Maruti Dzire,ZXI Plus,Manual,"2,246 km",1st Owner,Petrol,MH-47,"8,57,000"
2018 Maruti Baleno,DELTA PETROL 1.2,,"12,330 km",1st Owner,Petrol,MH-01,"6,04,000"
2020 Maruti Vitara Brezza,VXI,Manual,"14,473 km",1st Owner,Petrol,MH-04,"9,07,000"
2013 Maruti Swift,VXI,Manual,"39,383 km",1st Owner,Petrol,MH-04,"3,96,000"
2019 Hyundai NEW SANTRO,SPORTZ AMT ANNIVERSARY EDITION,Automatic,"6,335 km",1st Owner,Petrol,MH-04,"5,89,000"
2021 Hyundai VENUE,1.0L Turbo GDI SX(O) MT,Manual,"9,646 km",1st Owner,Petrol,MH-03,"11,04,000"
2017 Maruti Wagon R 1.0,VXI,Manual,"36,514 km",1st Owner,Petrol,MH-48,"4,17,000"
2013 Maruti Wagon R 1.0,LXI CNG,Manual,"82,740 km",2nd Owner,Petrol + CNG,MH-04,"3,22,000"
2020 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"35,592 km",1st Owner,Petrol + CNG,MH-43,"6,10,000"
2017 Maruti Wagon R 1.0,LXI CNG,Manual,"39,558 km",1st Owner,Petrol + CNG,MH-04,"4,65,000"
2017 Maruti Baleno,ALPHA 1.2 K12,Manual,"44,903 km",1st Owner,Petrol,MH-03,"6,27,000"
2018 Maruti Alto K10,VXI OPT,Manual,"17,888 km",1st Owner,Petrol,MH-04,"3,84,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"29,011 km",1st Owner,Petrol + CNG,MH-47,"6,56,000"
2018 Maruti Ciaz,ZETA 1.4 VVT,Automatic,"43,764 km",1st Owner,Petrol,MH-46,"7,26,000"
2018 Hyundai GRAND i10 PRIME,T+ CNG,,"39,732 km",1st Owner,Petrol + CNG,MH-02,"5,26,000"
2019 Hyundai Verna,1.6 SX VTVT AT (O),Automatic,"27,612 km",1st Owner,Petrol,MH-04,"11,68,000"
2017 Jeep Compass,LIMITED (O) 2.0 4*4,Manual,"63,497 km",2nd Owner,Diesel,MH-47,"12,84,000"
2020 Maruti Baleno,ZETA PETROL 1.2,,"6,307 km",1st Owner,Petrol,MH-03,"7,82,000"
