Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2016 Skoda Rapid,1.6 MPI STYLE PLUS AT,Automatic,"16,462 km",1st Owner,Petrol,MH-12,"9,74,000"
2020 Maruti Baleno,ALPHA CVT PETROL 1.2,,"34,063 km",1st Owner,Petrol,MH-12,"8,39,000"
2020 Jeep Compass,1.4 LIMITED PLUS AT,Automatic,"52,332 km",1st Owner,Petrol,MH-48,"19,79,000"
2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"41,708 km",1st Owner,Petrol,MH-12,"5,09,000"
2019 Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"23,345 km",1st Owner,Petrol,MH-14,"5,64,000"
2017 Maruti Wagon R 1.0,LXI CNG,Manual,"74,076 km",1st Owner,Petrol + CNG,MH-12,"4,80,000"
2014 Maruti Wagon R 1.0,VXI,Manual,"54,095 km",1st Owner,Petrol,MH-03,"3,38,000"
2018 Maruti Celerio,VXI CNG,Manual,"71,961 km",1st Owner,Petrol + CNG,MH-12,"5,25,000"
2021 Maruti S PRESSO,VXI CNG,Manual,"7,596 km",1st Owner,Petrol + CNG,MH-14,"5,78,000"
2015 Maruti Wagon R 1.0,VXI,Manual,"55,847 km",1st Owner,Petrol,MH-12,"3,99,000"
2020 KIA SELTOS,HTX AT PETROL,Automatic,"31,348 km",1st Owner,Petrol,MH-12,"15,21,000"
2019 Toyota Glanza,G CVT,Automatic,"23,657 km",2nd Owner,Petrol,MH-14,"7,65,000"
2016 Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,"81,298 km",2nd Owner,Petrol,MH-12,"5,37,000"
2020 Hyundai GRAND I10 NIOS,SPORTZ CNG MT,Manual,"54,885 km",1st Owner,Petrol + CNG,MH-12,"7,34,000"
2019 Maruti Alto,VXI,Manual,"31,386 km",1st Owner,Petrol,MH-12,"3,62,000"
2017 Maruti Wagon R 1.0,LXI CNG,Manual,"36,378 km",1st Owner,Petrol + CNG,MH-12,"4,93,000"
2020 Hyundai AURA,SX (O) MT,,"17,358 km",1st Owner,Petrol,MH-46,"7,90,000"
2018 Maruti Celerio,VXI,Manual,"54,446 km",1st Owner,Petrol,MH-47,"4,82,000"
2019 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT,Automatic,"13,713 km",1st Owner,Petrol,MH-12,"10,83,000"
2020 Volkswagen Vento,COMFORTLINE 1.0 TSI MT,Manual,"65,482 km",1st Owner,Petrol,MH-12,"8,99,000"
2013 Honda Amaze,1.2 VXMT I VTEC,Manual,"44,050 km",1st Owner,Petrol,MH-12,"4,62,000"
2018 Nissan Micra,XL CVT (PETROL),Automatic,"14,568 km",2nd Owner,Petrol,MH-04,"5,16,000"
2020 Skoda Rapid,1.0 AMBITION TSI MT,Manual,"29,229 km",1st Owner,Petrol,MH-14,"9,18,000"
2019 Renault TRIBER,1.0 RXZ,Manual,"9,928 km",1st Owner,Petrol,MH-12,"6,96,000"
2021 Tata ALTROZ,XZ 1.2,Manual,"6,346 km",1st Owner,Petrol,MH-12,"8,31,000"
2019 Jeep Compass,1.4  LONGITUDE (O) AT,Automatic,"30,596 km",1st Owner,Petrol,MH-20,"17,82,000"
2017 Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,"42,663 km",1st Owner,Petrol,MH-14,"7,79,000"
2016 Maruti Wagon R 1.0,VXI AMT,Automatic,"85,110 km",1st Owner,Petrol,MH-14,"4,19,000"
2018 Toyota YARIS,J MT,Manual,"28,641 km",1st Owner,Petrol,MH-14,"7,90,000"
2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"23,286 km",2nd Owner,Petrol,MH-14,"5,11,000"
2017 Maruti Dzire,ZXI AMT,Automatic,"32,740 km",2nd Owner,Petrol,MH-12,"7,76,000"
